,customer_id,region_id,node_id,start_date,end_date
0,1,3,4,2020-01-02,2020-01-03
1,2,3,5,2020-01-03,2020-01-17
2,3,5,4,2020-01-27,2020-02-18
3,4,5,4,2020-01-07,2020-01-19
4,5,3,3,2020-01-15,2020-01-23
5,6,1,1,2020-01-11,2020-02-06
6,7,2,5,2020-01-20,2020-02-04
7,8,1,2,2020-01-15,2020-01-28
8,9,4,5,2020-01-21,2020-01-25
9,10,3,4,2020-01-13,2020-01-14
10,11,2,5,2020-01-19,2020-01-25
11,12,1,2,2020-01-13,2020-01-14
12,13,2,3,2020-01-02,2020-01-14
13,14,1,2,2020-01-25,2020-01-25
14,15,1,3,2020-01-25,2020-02-08
15,16,4,4,2020-01-13,2020-01-18
16,17,2,3,2020-01-19,2020-01-27
17,18,1,3,2020-01-17,2020-02-15
18,19,2,2,2020-01-17,2020-02-06
19,20,2,4,2020-01-18,2020-02-09
20,21,3,2,2020-01-12,2020-01-25
21,22,4,3,2020-01-19,2020-02-18
22,23,1,5,2020-01-21,2020-02-15
23,24,2,5,2020-01-26,2020-02-14
24,25,5,1,2020-01-28,2020-02-10
25,26,3,3,2020-01-17,2020-01-25
26,27,4,3,2020-01-01,2020-01-22
27,28,4,2,2020-01-20,2020-02-13
28,29,2,3,2020-01-19,2020-01-31
29,30,2,1,2020-01-26,2020-02-06
30,31,3,2,2020-01-06,2020-01-13
31,32,4,4,2020-01-12,2020-01-14
32,33,3,4,2020-01-24,2020-02-17
33,34,2,3,2020-01-30,2020-02-18
34,35,4,5,2020-01-17,2020-02-15
35,36,2,3,2020-01-30,2020-02-19
36,37,1,3,2020-01-29,2020-02-04
37,38,5,1,2020-01-21,2020-02-14
38,39,5,2,2020-01-22,2020-01-23
39,40,2,1,2020-01-21,2020-02-17
40,41,5,1,2020-01-30,2020-02-26
41,42,4,3,2020-01-11,2020-01-16
42,43,2,2,2020-01-28,2020-02-25
43,44,3,1,2020-01-19,2020-02-09
44,45,2,1,2020-01-14,2020-02-08
45,46,1,4,2020-01-23,2020-01-26
46,47,5,4,2020-01-22,2020-01-26
47,48,5,2,2020-01-01,2020-01-18
48,49,2,5,2020-01-04,2020-01-09
49,50,2,5,2020-01-29,2020-02-06
50,51,1,3,2020-01-20,2020-02-02
51,52,5,2,2020-01-12,2020-01-26
52,53,4,1,2020-01-24,2020-01-29
53,54,4,1,2020-01-09,2020-01-29
54,55,5,5,2020-01-25,2020-02-07
55,56,4,4,2020-01-18,2020-01-20
56,57,5,5,2020-01-06,2020-01-28
